Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
112365,2.10152,-1.00505,-1.44848,-1.01526,-0.580792,-0.823217,-0.50058,-0.16587,-0.549246,1.05217,0.614954,-0.678179,-1.05102,0.439244,-0.127363,1.21528,-0.110359,-0.586135,0.734451,-0.00137058,0.49744,1.26716,-0.0860944,-0.364509,0.129096,0.0805513,-0.0536366,-0.0729845,60.85,0
109809,1.95234,-1.15417,-0.468894,-0.730378,-0.941048,-0.196502,-0.985979,-0.0964814,1.06468,0.450358,1.5826,-2.11976,2.31367,1.09284,-1.2237,1.55394,0.411284,-0.627195,0.849595,0.185681,-0.106499,-0.287121,0.231671,-0.563876,-0.511658,-0.526093,-0.0350841,-0.0424769,114.00,0
51468,1.03885,-0.0550712,1.29461,1.16286,-0.804315,0.264164,-0.682264,0.311318,0.225011,0.116138,1.62311,0.992328,-0.0497369,0.20523,0.906819,0.508312,-0.586211,0.315922,-0.840005,-0.113124,0.203656,0.583287,0.0199108,0.22372,0.202997,-0.361373,0.0717982,0.0321615,24.94,0
164184,1.87479,-0.206999,-0.225811,1.35443,-0.550928,-0.450159,-0.386747,-0.0905455,0.796114,0.178546,-0.760518,0.634424,0.808072,-0.120116,0.752435,0.373755,-0.77091,0.178932,-0.851493,-0.133541,0.262003,0.866399,0.102293,-0.00794469,-0.095119,-0.565032,0.0573408,-0.0220482,45.10,0
150175,1.98761,-0.277992,-0.250062,0.465677,-0.723429,-0.76214,-0.449441,-0.0936378,1.27254,-0.162747,-0.794143,0.556728,0.137549,-0.0450682,0.645005,0.186511,-0.541303,-0.204944,-0.078852,-0.229734,-0.180301,-0.3577,0.375241,0.00272247,-0.427382,-0.624725,0.0359191,-0.0308279,5.00,0
147688,-0.82016,0.72482,0.0554387,-0.696164,0.488457,0.963331,1.05297,-0.05849,0.530789,-0.43641,-0.384333,0.607846,0.181198,-0.129863,0.33722,-1.6879,0.76367,-1.95105,-0.413875,-0.452389,0.0811358,0.553425,0.113542,-0.993008,-1.0569,-0.108172,-0.334173,0.211057,100.06,0
50753,0.0440968,-0.357775,-0.140976,-2.7407,0.0589198,-0.591038,0.0447446,-0.0521487,-2.39552,1.41456,-0.31984,-1.38624,-0.676,0.162061,-1.0557,-0.0343163,-0.291829,0.854107,-0.0874371,-0.286274,-0.0605648,0.212681,-0.0694541,-0.876027,-0.652059,-0.36395,0.438481,0.260498,15.00,0
36924,-1.45864,-0.732573,2.73233,1.64969,0.492786,0.175109,-1.0112,0.56091,0.280073,-0.24663,0.0689547,0.386315,-0.861597,-0.303772,-0.850203,-0.477214,0.142587,1.02682,1.48982,0.400305,0.299394,0.764237,-0.209485,0.0349854,0.523558,0.0713153,0.0887634,0.0991222,29.00,0
77228,1.26388,0.177086,0.0183032,0.477691,-0.041375,-0.487378,0.160978,-0.125137,-0.147162,0.0416144,0.939165,1.16133,0.397633,0.267056,-0.677171,-0.0608471,-0.411859,-0.0934161,0.539571,-0.076361,-0.0332368,0.0569246,-0.165588,0.0919261,0.695929,0.555683,-0.0531388,-0.0117732,0.00,0
36949,-0.244048,0.7997,1.15011,-0.628315,0.102001,-0.851223,0.896934,-0.0886157,-0.878074,-0.406066,1.38005,0.605939,-0.206858,0.5231,-0.0521665,0.23105,-0.436715,-0.334367,0.708045,0.0124992,-0.31416,-1.06025,0.0895501,0.338532,-0.362654,0.564632,-0.0844971,-0.000487139,20.24,0
132556,-0.624941,-0.252828,1.87261,-3.32909,-0.645682,-0.764877,0.126211,-0.192595,-2.29899,0.146742,-1.01673,-0.351441,1.80933,-1.04573,-1.20456,-0.113955,-0.0892392,-0.168792,-1.39882,-0.312973,-0.124668,0.0450203,-0.381648,0.0575246,0.73353,-0.242295,0.0226387,0.0485227,22.40,0
